GeographyCode,DC2216NI0001,DC2216NI0002,DC2216NI0003,DC2216NI0004,DC2216NI0005,DC2216NI0006,DC2216NI0007,DC2216NI0008,DC2216NI0009,DC2216NI0010,DC2216NI0011,DC2216NI0012,DC2216NI0013,DC2216NI0014,DC2216NI0015,DC2216NI0016,DC2216NI0017,DC2216NI0018,DC2216NI0019,DC2216NI0020,DC2216NI0021,DC2216NI0022,DC2216NI0023,DC2216NI0024,DC2216NI0025,DC2216NI0026,DC2216NI0027,DC2216NI0028,DC2216NI0029,DC2216NI0030,DC2216NI0031,DC2216NI0032,DC2216NI0033,DC2216NI0034,DC2216NI0035,DC2216NI0036,DC2216NI0037,DC2216NI0038,DC2216NI0039,DC2216NI0040,DC2216NI0041,DC2216NI0042,DC2216NI0043,DC2216NI0044,DC2216NI0045,DC2216NI0046,DC2216NI0047,DC2216NI0048,DC2216NI0049,DC2216NI0050,DC2216NI0051,DC2216NI0052,DC2216NI0053,DC2216NI0054,DC2216NI0055,DC2216NI0056,DC2216NI0057,DC2216NI0058,DC2216NI0059,DC2216NI0060,DC2216NI0061,DC2216NI0062,DC2216NI0063,DC2216NI0064,DC2216NI0065,DC2216NI0066,DC2216NI0067,DC2216NI0068,DC2216NI0069,DC2216NI0070,DC2216NI0071,DC2216NI0072,DC2216NI0073,DC2216NI0074,DC2216NI0075,DC2216NI0076,DC2216NI0077,DC2216NI0078,DC2216NI0079,DC2216NI0080,DC2216NI0081,DC2216NI0082,DC2216NI0083,DC2216NI0084,DC2216NI0085,DC2216NI0086,DC2216NI0087,DC2216NI0088,DC2216NI0089,DC2216NI0090,DC2216NI0091,DC2216NI0092,DC2216NI0093,DC2216NI0094,DC2216NI0095,DC2216NI0096,DC2216NI0097,DC2216NI0098,DC2216NI0099,DC2216NI0100,DC2216NI0101,DC2216NI0102,DC2216NI0103,DC2216NI0104,DC2216NI0105,DC2216NI0106,DC2216NI0107,DC2216NI0108,DC2216NI0109,DC2216NI0110,DC2216NI0111,DC2216NI0112,DC2216NI0113,DC2216NI0114,DC2216NI0115,DC2216NI0116,DC2216NI0117,DC2216NI0118,DC2216NI0119,DC2216NI0120,DC2216NI0121,DC2216NI0122,DC2216NI0123,DC2216NI0124,DC2216NI0125,DC2216NI0126,DC2216NI0127,DC2216NI0128,DC2216NI0129,DC2216NI0130,DC2216NI0131,DC2216NI0132,DC2216NI0133,DC2216NI0134,DC2216NI0135,DC2216NI0136,DC2216NI0137,DC2216NI0138,DC2216NI0139,DC2216NI0140,DC2216NI0141,DC2216NI0142,DC2216NI0143,DC2216NI0144,DC2216NI0145,DC2216NI0146,DC2216NI0147,DC2216NI0148,DC2216NI0149,DC2216NI0150,DC2216NI0151,DC2216NI0152,DC2216NI0153,DC2216NI0154,DC2216NI0155,DC2216NI0156,DC2216NI0157,DC2216NI0158,DC2216NI0159,DC2216NI0160,DC2216NI0161,DC2216NI0162,DC2216NI0163,DC2216NI0164,DC2216NI0165,DC2216NI0166,DC2216NI0167,DC2216NI0168,DC2216NI0169,DC2216NI0170,DC2216NI0171,DC2216NI0172,DC2216NI0173,DC2216NI0174,DC2216NI0175,DC2216NI0176,DC2216NI0177,DC2216NI0178,DC2216NI0179,DC2216NI0180,DC2216NI0181,DC2216NI0182
95KK,35320,34089,1231,324,466,348,93,34194,34012,182,86,51,38,7,1126,77,1049,238,415,310,86,11410,11371,39,12,15,11,1,10815,10763,52,43,5,3,1,9180,9167,13,7,4,1,1,1383,1378,5,0,1,4,0,468,468,0,0,0,0,0,204,204,0,0,0,0,0,165,164,1,0,1,0,0,199,198,1,0,0,1,0,103,102,1,1,0,0,0,11,11,0,0,0,0,0,110,110,0,0,0,0,0,237,13,224,84,75,43,22,34,12,22,10,4,7,1,742,19,723,134,293,235,61,226,6,220,48,94,63,15,126,2,124,29,56,35,4,390,11,379,57,143,137,42,40,6,34,5,17,10,2,20,1,19,0,13,6,0,2,0,2,1,1,0,0,18,5,13,4,3,4,2,147,45,102,20,47,32,3,72,58,14,8,4,1,1
95LL,88565,83203,5362,1412,2182,1432,336,83529,82719,810,367,248,143,52,5036,484,4552,1045,1934,1289,284,35956,35674,282,120,94,47,21,20323,20178,145,110,20,13,2,18246,18154,92,32,24,26,10,5379,5363,16,10,2,2,2,793,792,1,1,0,0,0,647,647,0,0,0,0,0,459,456,3,1,2,0,0,493,492,1,0,0,0,1,287,285,2,1,0,1,0,49,48,1,1,0,0,0,381,380,1,1,0,0,0,826,95,731,239,281,155,56,120,35,85,26,41,18,0,3528,130,3398,623,1507,1056,212,2080,68,2012,385,890,605,132,942,34,908,145,399,305,59,506,28,478,93,218,146,21,139,24,115,32,44,24,15,74,12,62,23,26,5,8,44,5,39,5,14,14,6,21,7,14,4,4,5,1,682,259,423,183,146,78,16,257,191,66,32,21,12,1
95MM,103341,101409,1932,935,578,325,94,101795,101021,774,534,144,68,28,1546,388,1158,401,434,257,66,20554,20377,177,100,47,25,5,53442,53062,380,325,35,9,11,20462,20423,39,24,3,9,3,2502,2491,11,3,5,3,0,1708,1698,10,3,3,1,3,637,636,1,1,0,0,0,518,518,0,0,0,0,0,672,665,7,3,4,0,0,450,447,3,0,3,0,0,44,42,2,2,0,0,0,352,346,6,5,1,0,0,255,44,211,113,74,24,0,70,43,27,20,5,1,1,609,29,580,107,212,203,58,472,15,457,83,164,163,47,58,3,55,11,22,20,2,79,11,68,13,26,20,9,76,17,59,18,20,16,5,57,7,50,15,18,15,2,4,1,3,0,0,1,2,15,9,6,3,2,0,1,682,315,367,181,148,30,8,308,256,52,30,18,4,0
95NN,66882,65748,1134,463,400,222,49,65850,65442,408,227,105,55,21,1032,306,726,236,295,167,28,22275,22158,117,42,37,26,12,18805,18673,132,107,21,2,2,17974,17940,34,15,11,5,3,2840,2832,8,1,5,2,0,908,899,9,9,0,0,0,855,854,1,1,0,0,0,656,655,1,1,0,0,0,582,582,0,0,0,0,0,228,226,2,1,1,0,0,56,48,8,6,0,1,1,384,383,1,0,1,0,0,86,25,61,47,11,3,0,35,15,20,18,2,0,0,566,29,537,134,230,149,24,311,10,301,71,130,85,15,106,9,97,21,37,35,4,149,10,139,42,63,29,5,53,6,47,10,17,17,3,21,1,20,3,8,8,1,19,2,17,2,7,6,2,13,3,10,5,2,3,0,380,252,128,55,54,15,4,199,171,28,16,10,2,0
95OO,55075,49935,5140,1215,2018,1601,306,50334,49685,649,309,214,91,35,4741,250,4491,906,1804,1510,271,14721,14648,73,25,30,14,4,19585,19366,219,171,33,9,6,12093,12045,48,22,19,6,1,1703,1701,2,1,1,0,0,729,727,2,2,0,0,0,302,301,1,0,0,0,1,231,228,3,2,0,0,1,214,211,3,0,0,2,1,117,112,5,3,1,1,0,21,20,1,1,0,0,0,157,151,6,1,3,2,0,808,43,765,170,310,246,39,136,41,95,20,42,22,11,3555,107,3448,650,1383,1191,224,1315,27,1288,253,512,425,98,1700,57,1643,298,677,572,96,540,23,517,99,194,194,30,154,23,131,37,54,31,9,51,4,47,21,18,6,2,80,15,65,11,28,21,5,23,4,19,5,8,4,2,378,100,278,86,111,73,8,171,111,60,24,31,4,1
95PP,59282,57652,1630,565,653,342,70,57747,57444,303,161,91,34,17,1535,208,1327,404,562,308,53,18967,18907,60,27,23,8,2,19772,19667,105,78,17,4,6,14188,14159,29,16,7,3,3,2207,2206,1,0,0,0,1,650,649,1,1,0,0,0,359,359,0,0,0,0,0,309,308,1,1,0,0,0,539,539,0,0,0,0,0,185,184,1,0,1,0,0,37,36,1,1,0,0,0,285,285,0,0,0,0,0,129,18,111,63,38,9,1,39,21,18,8,5,2,3,1119,41,1078,274,474,280,50,588,20,568,153,258,134,23,319,7,312,62,132,105,13,212,14,198,59,84,41,14,71,9,62,16,29,15,2,39,4,35,10,15,9,1,13,1,12,1,8,2,1,19,4,15,5,6,4,0,287,149,138,67,50,19,2,139,115,24,13,9,2,0
95QQ,31065,30819,246,114,97,33,2,30798,30725,73,35,20,16,2,267,94,173,79,77,17,0,17902,17874,28,2,10,15,1,2380,2370,10,10,0,0,0,6123,6115,8,7,1,0,0,2924,2921,3,1,1,1,0,132,131,1,1,0,0,0,387,387,0,0,0,0,0,191,191,0,0,0,0,0,205,204,1,1,0,0,0,189,186,3,3,0,0,0,26,25,1,1,0,0,0,243,242,1,1,0,0,0,74,19,55,31,20,4,0,16,11,5,4,1,0,0,94,6,88,32,49,7,0,32,2,30,11,17,2,0,7,0,7,5,2,0,0,55,4,51,16,30,5,0,4,2,2,0,2,0,0,3,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,99,69,30,16,8,6,0,76,66,10,4,5,0,1
95RR,32150,31787,363,145,117,72,29,31806,31705,101,48,21,24,8,344,82,262,97,96,48,21,11860,11837,23,13,2,6,2,9345,9316,29,16,9,3,1,7994,7987,7,2,2,1,2,1262,1260,2,0,1,0,1,344,342,2,2,0,0,0,206,206,0,0,0,0,0,200,198,2,0,0,2,0,200,200,0,0,0,0,0,135,134,1,0,1,0,0,26,25,1,1,0,0,0,138,137,1,1,0,0,0,21,6,15,13,2,0,0,8,3,5,2,0,2,1,198,7,191,50,83,41,17,137,1,136,42,57,30,7,19,3,16,3,6,7,0,42,3,39,5,20,4,10,21,1,20,3,6,10,1,13,1,12,2,5,4,1,8,0,8,1,1,6,0,0,0,0,0,0,0,0,125,69,56,34,11,7,4,67,59,8,8,0,0,0
95SS,114825,112324,2501,1230,830,374,67,112709,111771,938,595,223,93,27,2116,553,1563,635,607,281,40,52058,51736,322,150,104,52,16,24364,24004,360,305,44,5,6,21407,21360,47,35,7,2,3,8630,8612,18,7,7,4,0,1022,1015,7,7,0,0,0,1446,1446,0,0,0,0,0,880,879,1,1,0,0,0,792,789,3,0,2,1,0,496,496,0,0,0,0,0,99,95,4,3,1,0,0,977,973,4,4,0,0,0,220,62,158,114,31,12,1,60,49,11,9,2,0,0,1109,63,1046,316,463,229,38,631,30,601,169,253,154,25,250,16,234,66,119,44,5,228,17,211,81,91,31,8,101,9,92,35,33,22,2,62,4,58,16,23,18,1,26,3,23,11,8,3,1,13,2,11,8,2,1,0,787,428,359,205,113,40,1,377,308,69,39,23,7,0
95TT,42883,41691,1192,411,411,319,51,41870,41562,308,205,62,28,13,1013,129,884,206,349,291,38,11612,11577,35,15,10,9,1,16792,16629,163,149,12,1,1,10221,10202,19,10,5,0,4,1380,1376,4,2,1,1,0,791,788,3,1,2,0,0,214,211,3,2,0,1,0,225,225,0,0,0,0,0,167,167,0,0,0,0,0,121,117,4,4,0,0,0,12,12,0,0,0,0,0,147,147,0,0,0,0,0,29,8,21,17,4,0,0,10,5,5,5,0,0,0,824,19,805,167,321,282,35,403,2,401,69,170,145,17,211,6,205,54,74,70,7,210,11,199,44,77,67,11,59,4,55,7,30,11,7,31,1,30,3,18,5,4,14,2,12,2,7,2,1,14,1,13,2,5,4,2,160,102,58,22,24,9,3,119,102,17,10,2,5,0
95UU,16423,16205,218,118,52,36,12,16266,16154,112,76,19,7,10,157,51,106,42,33,29,2,5407,5392,15,9,5,0,1,5063,5011,52,47,4,0,1,4279,4267,12,3,0,2,7,630,627,3,1,0,1,1,229,227,2,2,0,0,0,107,106,1,1,0,0,0,124,123,1,1,0,0,0,136,136,0,0,0,0,0,113,113,0,0,0,0,0,11,11,0,0,0,0,0,101,101,0,0,0,0,0,21,5,16,14,2,0,0,9,5,4,3,1,0,0,69,2,67,17,25,24,1,45,1,44,13,14,16,1,12,0,12,2,7,3,0,12,1,11,2,4,5,0,6,2,4,1,3,0,0,2,0,2,1,1,0,0,1,1,0,0,0,0,0,3,1,2,0,2,0,0,67,44,23,11,6,5,1,51,33,18,8,6,4,0
95VV,94839,91046,3793,1225,1439,881,248,91327,90701,626,361,160,70,35,3512,345,3167,864,1279,811,213,16125,16005,120,50,34,22,14,47003,46765,238,192,30,6,10,21978,21942,36,19,14,2,1,2012,2008,4,2,2,0,0,1640,1631,9,5,3,1,0,458,455,3,1,1,0,1,466,463,3,2,1,0,0,538,533,5,5,0,0,0,271,271,0,0,0,0,0,59,58,1,0,1,0,0,279,278,1,1,0,0,0,151,26,125,85,26,12,2,62,37,25,15,10,0,0,2898,94,2804,660,1177,772,195,1715,46,1669,385,694,464,126,718,31,687,137,298,198,54,465,17,448,138,185,110,15,157,31,126,44,36,38,8,95,19,76,29,22,19,6,31,2,29,8,10,9,2,31,10,21,7,4,10,0,463,225,238,119,76,27,16,279,224,55,25,28,1,1
95WW,81578,79775,1803,714,685,332,72,79989,79418,571,303,152,85,31,1589,357,1232,411,533,247,41,44458,44175,283,126,88,50,19,8536,8414,122,97,14,6,5,15573,15545,28,13,9,4,2,7903,7894,9,6,1,1,1,525,523,2,2,0,0,0,1040,1040,0,0,0,0,0,578,575,3,1,0,1,1,358,357,1,0,0,1,0,255,252,3,3,0,0,0,62,60,2,2,0,0,0,399,398,1,0,0,1,0,144,33,111,73,34,3,1,19,13,6,3,2,1,0,677,39,638,133,305,167,33,561,33,528,102,255,143,28,33,0,33,7,14,8,4,83,6,77,24,36,16,1,61,7,54,16,19,16,3,48,2,46,12,17,14,3,1,0,1,0,1,0,0,12,5,7,4,1,2,0,768,285,483,205,194,77,7,222,165,57,34,19,4,0
95XX,76068,74776,1292,625,452,173,42,74656,74277,379,191,104,59,25,1412,499,913,434,348,114,17,42665,42464,201,92,60,36,13,3970,3937,33,20,7,6,0,14483,14445,38,19,10,5,4,8148,8134,14,4,4,4,2,408,405,3,3,0,0,0,1519,1514,5,4,1,0,0,825,820,5,5,0,0,0,872,871,1,0,1,0,0,468,464,4,3,0,0,1,80,78,2,1,0,0,1,873,871,2,0,2,0,0,207,64,143,105,25,12,1,60,47,13,12,1,0,0,444,27,417,146,190,70,11,279,11,268,90,131,41,6,31,3,28,14,12,1,1,134,13,121,42,47,28,4,37,5,32,13,9,7,3,22,1,21,9,7,4,1,1,0,1,1,0,0,0,14,4,10,3,2,3,2,761,408,353,183,133,32,5,248,222,26,15,9,1,1
95YY,49120,47566,1554,438,598,448,70,47724,47411,313,181,67,50,15,1396,155,1241,257,531,398,55,12188,12113,75,35,19,15,6,18523,18387,136,104,21,8,3,13712,13691,21,11,4,2,4,1289,1288,1,1,0,0,0,715,713,2,2,0,0,0,269,269,0,0,0,0,0,271,270,1,1,0,0,0,212,211,1,0,1,0,0,154,153,1,1,0,0,0,31,28,3,3,0,0,0,139,139,0,0,0,0,0,62,16,46,26,13,5,2,18,10,8,4,2,1,1,1154,27,1127,204,496,375,52,629,8,621,91,275,221,34,107,2,105,22,50,30,3,418,17,401,91,171,124,15,54,13,41,10,11,20,0,21,3,18,2,7,9,0,10,3,7,4,1,2,0,23,7,16,4,3,9,0,180,112,68,27,22,18,1,149,126,23,9,9,4,1
95ZZ,38209,37681,528,223,160,113,32,37784,37603,181,132,24,12,13,425,78,347,91,136,101,19,10903,10879,24,10,7,3,4,14034,13922,112,99,4,2,7,10143,10118,25,12,7,5,1,1278,1274,4,4,0,0,0,480,478,2,1,1,0,0,176,176,0,0,0,0,0,168,168,0,0,0,0,0,198,198,0,0,0,0,0,189,189,0,0,0,0,0,25,25,0,0,0,0,0,123,122,1,1,0,0,0,22,6,16,8,5,3,0,8,6,2,1,1,0,0,289,8,281,61,108,93,19,189,3,186,39,72,62,13,12,5,7,0,5,2,0,88,0,88,22,31,29,6,10,2,8,3,3,1,1,8,2,6,3,1,1,1,0,0,0,0,0,0,0,2,0,2,0,2,0,0,114,64,50,22,23,5,0,49,46,3,1,1,1,0
